,hlasy abs,hlasy procenta,mandat,navrhujici strana,politicka prislusnost,poradi ve strane,poradi zvoleni,prijmeni jmeno,rok,strana cislo,strana nazev,tituly,vek
1029,1 075,247.0,0,SOS,BEZPP,26,,Kumpošt Miroslav,2010,9,SOS - Liberecký zastupitel,,50
1030,1 241,285.0,0,SOS,SOS,5,,Kvapil Vítězslav,2010,9,SOS - Liberecký zastupitel,,63
1031,216,231.0,0,SPOZ,BEZPP,34,,Kvapilová Oldřiška,2010,11,Strana Práv Občanů ZEMANOVCI,,57
1032,4 764,220.0,0,ODS,ODS,39,31,Kvíčala Michal,2010,3,Občanská demokratická strana,,29
1033,991,208.0,0,DRS,BEZPP,27,,Kyselová Marcela,2010,7,Demokratická regionální strana,,32
1034,467,196.0,0,Suveren.,SDŽ,38,,Kyščíková Agnesa,2010,4,Suverenita-blok J.Bobošíkové,,68
1035,2 244,253.0,0,VV,VV,18,15,Kyzlíková Radka,2010,6,Věci veřejné,,44
1036,853,196.0,0,SOS,BEZPP,32,,Lachčinová Petra,2010,9,SOS - Liberecký zastupitel,,33
1037,5 608,223.0,0,NK,BEZPP,36,26,Lajksnerová Zora,2010,2,Změna pro Liberec,MUDr. ,41
1038,5 541,270.0,0,ČSSD,ČSSD,10,3,Lajtkep Petr,2010,8,Česká str.sociálně demokrat.,Ing. ,55
1039,840,193.0,0,SOS,BEZPP,36,,Lantelme-Faisan Věra,2010,9,SOS - Liberecký zastupitel,Ing. DiS.,38
1040,538,226.0,0,Suveren.,BEZPP,31,,Ledigová Jindra,2010,4,Suverenita-blok J.Bobošíkové,,50
1041,2 191,247.0,0,VV,BEZPP,22,19,Lejsková Lucie,2010,6,Věci veřejné,,39
1042,2 272,478.0,0,DRS,BEZPP,1,,Levko Jarmila,2010,7,Demokratická regionální strana,Ing. ,41
1043,259,277.0,0,SPOZ,SPOZ,21,,Levý Vilém,2010,11,Strana Práv Občanů ZEMANOVCI,,54
1044,5 290,258.0,0,ČSSD,ČSSD,15,8,Liebscherová Venuše,2010,8,Česká str.sociálně demokrat.,,24
1045,1 834,207.0,0,VV,BEZPP,37,34,Livora Ondřej,2010,6,Věci veřejné,,34
